Company Name,Model Name,Price,Model Year,Location,Mileage,Engine Type,Engine Capacity,Color,Assembly,Body Type,Transmission Type,Registration Status
Toyota,Corolla,2800000,2017,Punjab,14000,Petrol,1300,Grey,Local,Sedan,Automatic,Registered
Honda,Civic,3675000,2019,Punjab,29000,Petrol,1800,White,Local,Sedan,Automatic,Registered
Suzuki,Cultus,630000,2007,KPK,136000,Petrol,1000,Grey,Local,Hatchback,Manual,Registered
Toyota,Corolla,3950000,2019,Sindh,17000,Petrol,1800,Black,Local,Sedan,Automatic,Registered
Toyota,Vitz,1680000,2013,Punjab,100000,Petrol,1000,Green,Imported,Hatchback,Automatic,Registered
Toyota,Corolla,2600000,2018,Sindh,33000,Petrol,1300,Silver,Local,Sedan,Manual,Registered
Honda,Civic,865000,1999,Islamabad,266000,Petrol,1600,Green,Local,Sedan,Automatic,Registered
Suzuki,Mehran,615000,2012,Islamabad,71500,Petrol,800,Grey,Local,Hatchback,Manual,Registered
Honda,Civic,1130000,2000,Punjab,140000,Petrol,1600,Pink,Local,Sedan,Manual,Registered
Suzuki,Mehran,750000,2015,Islamabad,52000,Petrol,800,Grey,Local,Hatchback,Manual,Registered
Hyundai,Santro,500000,2004,Sindh,200000,Petrol,1000,Silver,Local,Hatchback,Manual,Registered
Honda,Accord,1400000,2004,Sindh,100000,Petrol,2400,Silver,Imported,Sedan,Automatic,Registered
Toyota,Corolla,2800000,2019,Punjab,18000,Petrol,1300,Bronze,Local,Sedan,Manual,Registered
Suzuki,Bolan,700000,2015,Punjab,65000,Petrol,800,Green,Local,Van,Manual,Registered
Toyota,Passo,2280000,2016,Punjab,34000,Petrol,1000,Assembly,Imported,Hatchback,Automatic,Un-Registered
Suzuki,Alto,600000,2007,Punjab,125000,Petrol,1000,Maroon,Local,Hatchback,Manual,Registered
Honda,Vezel,4400000,2015,Sindh,29653,Hybrid,1500,Assembly,Imported,Cross Over,Automatic,Un-Registered
Suzuki,Cultus,1175000,2015,Sindh,40000,Petrol,1000,Gold,Local,Hatchback,Manual,Registered
Toyota,Corolla,2950000,2019,Sindh,35000,Petrol,1300,Black,Local,Sedan,Automatic,Registered
Toyota,Vitz,2375000,2016,Sindh,85000,Petrol,1000,White,Imported,Hatchback,Automatic,Un-Registered
Honda,Civic,3250000,2017,Punjab,91400,Petrol,1800,Grey,Local,Sedan,Automatic,Registered
Toyota,Corolla,1225000,2007,Punjab,200000,Petrol,1300,Grey,Local,Sedan,Manual,Registered
Toyota,Hiace,3200000,2009,KPK,90000,Diesel,3000,White,Local,Van,Manual,Un-Registered
Toyota,Corolla,750000,2001,Punjab,255633,Petrol,1600,Green,Local,Sedan,Manual,Registered
Suzuki,Wagon,1550000,2018,Punjab,30000,Petrol,1000,White,Local,Hatchback,Manual,Registered
Honda,City,1245000,2007,Punjab,156000,Petrol,1300,Grey,Local,Sedan,Manual,Registered
Toyota,Corolla,2050000,2013,Punjab,173000,Petrol,1600,Gold,Local,Sedan,Automatic,Registered
Suzuki,Cultus,900000,2012,Punjab,50000,Petrol,1000,White,Local,Hatchback,Manual,Registered
Honda,Civic,1135000,2006,Sindh,84000,Petrol,1600,Black,Local,Sedan,Automatic,Registered
Mercedes,Benz,4000000,2006,Islamabad,115000,Diesel,3000,Silver,Imported,SUV,Automatic,Registered
Honda,City,1780000,2013,Islamabad,57000,Petrol,1300,Silver,Local,Sedan,Manual,Registered
Toyota,Fortuner,9100000,2019,Punjab,17000,Petrol,2700,White,Local,SUV,Automatic,Registered
Toyota,Vitz,1850000,2014,Sindh,79000,Petrol,1000,Turquoise,Imported,Hatchback,Automatic,Registered
Suzuki,Cultus,650000,2007,Punjab,117000,Petrol,1000,Blue,Local,Hatchback,Manual,Registered
Honda,City,2425000,2018,Punjab,70000,Petrol,1300,Grey,Local,Sedan,Automatic,Registered
Honda,City,2350000,2019,Punjab,10000,Petrol,1300,White,Local,Sedan,Manual,Registered
Hyundai,Santro,650000,2005,Punjab,78500,Petrol,1000,Grey,Local,Hatchback,Manual,Registered
Suzuki,Mehran,330000,1997,KPK,150000,Petrol,800,White,Local,Hatchback,Manual,Registered
Honda,Civic,2675000,2015,Punjab,29000,Petrol,1800,Silver,Local,Sedan,Automatic,Registered
Honda,Accord,2200000,2007,Sindh,80000,Petrol,2400,Silver,Imported,Sedan,Automatic,Registered
Suzuki,Mehran,436000,2011,Punjab,112145,Petrol,800,Grey,Local,Hatchback,Manual,Registered
Suzuki,Potohar,550000,1994,Punjab,150000,Petrol,1000,White,Local,SUV,Manual,Registered
Suzuki,Alto,1240000,2014,Sindh,66000,Petrol,660,Assembly,Imported,Hatchback,Automatic,Registered
Toyota,Vitz,1540000,2012,Sindh,90000,Petrol,1000,Silver,Imported,Hatchback,Automatic,Registered
Daihatsu,Mira,950000,2007,Punjab,118000,Petrol,660,Maroon,Imported,Hatchback,Automatic,Registered
Toyota,Corolla,2350000,2013,KPK,30000,Petrol,1300,White,Local,Sedan,Manual,Registered
Suzuki,Cultus,600000,2006,Islamabad,50000,Petrol,1000,White,Local,Hatchback,Manual,Registered
Toyota,Corolla,1450000,2012,Punjab,261000,Petrol,1300,Black,Local,Sedan,Manual,Registered
Honda,Civic,1060000,2006,Punjab,124000,Petrol,1600,Black,Local,Sedan,Manual,Registered
Toyota,Passo,2175000,2016,Sindh,17000,Petrol,1000,Blue,Imported,Hatchback,Automatic,Un-Registered
Toyota,Corolla,1690000,2013,Punjab,140000,Petrol,1300,Brown,Local,Sedan,Manual,Registered
Toyota,Passo,1950000,2015,Punjab,78000,Petrol,1000,Black,Imported,Hatchback,Automatic,Un-Registered
Toyota,Corolla,2200000,2015,Islamabad,115000,Petrol,1300,Black,Local,Sedan,Manual,Registered
Toyota,Corolla,1425000,2010,Punjab,133000,Petrol,1300,Black,Local,Sedan,Manual,Registered
Toyota,Crown,1500000,1996,Punjab,123456,Petrol,3000,Silver,Imported,Sedan,Automatic,Registered
Nissan,Roox,1400000,2015,Punjab,42000,Petrol,660,Silver,Imported,Hatchback,Automatic,Registered
Mercedes,Benz,1100000,2000,Punjab,100000,Petrol,2000,Silver,Imported,Sedan,Manual,Registered
Suzuki,Swift,1680000,2016,KPK,90000,Petrol,1300,White,Local,Hatchback,Manual,Registered
Toyota,Corolla,1597000,2011,Punjab,150000,Petrol,1300,Grey,Local,Sedan,Manual,Registered
Nissan,Juke,2250000,2012,Sindh,70000,Petrol,1500,Red,Imported,SUV,Automatic,Registered
Mercedes,Benz,3300000,2007,Islamabad,90000,Petrol,1800,Grey,Local,Sedan,Automatic,Registered
Toyota,Corolla,2100000,2016,Punjab,98000,Petrol,1300,White,Local,Sedan,Manual,Registered
Toyota,Corolla,1750000,2012,KPK,195888,Petrol,1300,Grey,Local,Sedan,Manual,Registered
Toyota,Corolla,1050000,2005,Punjab,250000,Petrol,1300,Silver,Local,Sedan,Manual,Registered
Suzuki,Alto,620000,2006,Punjab,193000,Petrol,1000,White,Local,Hatchback,Manual,Registered
Honda,Vezel,3300000,2013,Islamabad,50000,Petrol,1500,White,Imported,Cross Over,Automatic,Registered
Honda,Civic,2430000,2015,Punjab,84000,Petrol,1800,Black,Local,Sedan,Automatic,Registered
Daihatsu,Mira,1020000,2007,Punjab,93000,Petrol,660,Silver,Imported,Hatchback,Automatic,Registered
Honda,City,2200000,2018,Punjab,28000,Petrol,1300,White,Local,Sedan,Manual,Registered
Honda,Accord,3450000,2012,Sindh,55000,Petrol,2400,Black,Imported,Sedan,Automatic,Registered
Mitsubishi,Pajero,1600000,1992,Sindh,100000,Diesel,2500,White,Imported,SUV,Manual,Registered
Honda,Civic,3250000,2016,Punjab,71000,Petrol,1500,White,Local,Sedan,Automatic,Registered
Suzuki,Mehran,550000,2017,Punjab,20000,Petrol,800,White,Local,Hatchback,Manual,Registered
Suzuki,Mehran,295000,1998,KPK,144770,Petrol,800,Red,Local,Hatchback,Manual,Registered
Daihatsu,Cuore,475000,2000,Sindh,90000,Petrol,800,Black,Local,Hatchback,Automatic,Registered
Hyundai,Santro,815000,2007,Punjab,85315,Petrol,1000,Grey,Local,Hatchback,Manual,Registered
Toyota,Aqua,2150000,2013,Punjab,85000,Petrol,1500,Blue,Imported,Hatchback,Automatic,Registered
Honda,Civic,2300000,2013,Sindh,54000,Petrol,1800,White,Local,Sedan,Automatic,Registered
Toyota,Passo,2250000,2016,Punjab,48000,Petrol,1000,Green,Imported,Hatchback,Automatic,Registered
Suzuki,Cultus,495000,2004,Islamabad,111111,Petrol,1000,White,Local,Hatchback,Manual,Registered
Suzuki,Cultus,1515000,2017,Sindh,48267,Petrol,1000,Grey,Local,Hatchback,Manual,Registered
Toyota,Corolla,1925000,2013,Islamabad,79000,Petrol,1300,White,Local,Sedan,Manual,Registered
Honda,Civic,2535000,2015,Islamabad,95000,Petrol,1800,White,Local,Sedan,Automatic,Registered
Honda,City,2275000,2018,Punjab,43000,Petrol,1300,White,Local,Sedan,Manual,Registered
Honda,City,1600000,2014,Sindh,86000,Petrol,1300,Gold,Local,Sedan,Automatic,Registered
Suzuki,Cultus,1150000,2016,Sindh,28000,Petrol,1000,Grey,Local,Hatchback,Manual,Registered
Suzuki,Wagon,1400000,2017,Punjab,51000,Petrol,1000,White,Local,Hatchback,Manual,Registered
Daihatsu,Mira,1450000,2016,Sindh,91000,Petrol,660,Gold,Imported,Hatchback,Automatic,Registered
Daihatsu,Mira,1490000,2014,Punjab,64000,Petrol,660,White,Imported,Hatchback,Automatic,Registered
Suzuki,Alto,1360000,2019,Islamabad,10,Petrol,660,Silver,Local,Hatchback,Manual,Un-Registered
Honda,Civic,1220000,2004,Islamabad,115000,Petrol,1600,Black,Local,Sedan,Automatic,Registered
Suzuki,Cultus,1490000,2017,Sindh,41000,Petrol,1000,White,Local,Hatchback,Manual,Registered
Mazda,Carol,1000000,2010,KPK,159500,Petrol,660,Beige,Imported,Hatchback,Manual,Registered
Toyota,Vitz,2185000,2016,Punjab,51000,Petrol,1000,Grey,Imported,Hatchback,Automatic,Un-Registered
Suzuki,Baleno,570000,2005,Sindh,151000,Petrol,1300,Beige,Local,Sedan,Manual,Registered
Honda,Fit,2400000,2014,Punjab,104000,Petrol,1500,White,Imported,Hatchback,Automatic,Registered
Toyota,Corolla,1380000,2007,KPK,111111,Petrol,1300,White,Local,Sedan,Manual,Registered
Honda,City,1580000,2010,Sindh,67000,Petrol,1300,Maroon,Local,Sedan,Automatic,Registered
Honda,City,1765000,2009,Islamabad,100000,Petrol,1300,Silver,Local,Sedan,Automatic,Registered
Suzuki,Mehran,1065000,2019,Punjab,18000,Petrol,800,Silver,Local,Hatchback,Manual,Registered
Honda,Vezel,3500000,2015,Punjab,126800,Hybrid,1500,White,Imported,Cross Over,Automatic,Un-Registered
Honda,Vezel,3900000,2015,Punjab,27600,Hybrid,1500,White,Imported,Cross Over,Automatic,Registered
Suzuki,Cultus,610000,2005,Punjab,120000,Petrol,1000,Silver,Local,Hatchback,Manual,Registered
Nissan,Dayz,1725000,2017,KPK,20000,Petrol,660,Blue,Imported,Hatchback,Automatic,Un-Registered
Nissan,Sunny,400000,1993,Punjab,200000,Petrol,2000,White,Imported,Sedan,Manual,Registered
Suzuki,Mehran,475000,2007,Islamabad,120000,Petrol,800,White,Local,Hatchback,Manual,Registered
Suzuki,Liana,710000,2006,Punjab,150000,Petrol,1300,Silver,Local,Sedan,Manual,Registered
Suzuki,Margalla,400000,1996,Punjab,178888,Petrol,1300,Black,Local,Sedan,Manual,Registered
Suzuki,Bolan,580000,2007,Punjab,300000,Petrol,800,White,Local,Mini Van,Manual,Registered
Suzuki,Cultus,850000,2008,Punjab,54000,Petrol,1000,Silver,Local,Hatchback,Manual,Registered
Suzuki,Alto,780000,2011,KPK,120000,Petrol,1000,Maroon,Local,Hatchback,Manual,Registered
Toyota,Prius,2375000,2011,Punjab,112000,Petrol,1800,White,Imported,Sedan,Automatic,Registered
Toyota,Prado,13300000,2011,Sindh,20000,Petrol,4000,White,Imported,SUV,Automatic,Registered
Suzuki,Cultus,900000,2014,Sindh,120000,Petrol,1000,Silver,Local,Hatchback,Manual,Registered
Daihatsu,Cuore,450000,2003,Punjab,112000,Petrol,800,White,Imported,Hatchback,Manual,Registered
Toyota,Aqua,2220000,2014,Punjab,120000,Petrol,1500,Maroon,Imported,Hatchback,Automatic,Registered
Honda,Civic,3200000,2016,Islamabad,60000,Petrol,1500,Black,Local,Sedan,Automatic,Registered
Toyota,Corolla,1400000,2011,Sindh,105000,Petrol,1300,Green,Local,Sedan,Manual,Registered
Honda,N,1515000,2016,Punjab,39000,Petrol,660,Silver,Imported,Hatchback,Automatic,Registered
Honda,Civic,3250000,2017,Punjab,47000,Petrol,1800,White,Local,Sedan,Automatic,Registered
Toyota,Corolla,1430000,2010,Punjab,150000,Petrol,1300,Black,Local,Sedan,Manual,Registered
Suzuki,Swift,1950000,2019,Punjab,35000,Petrol,1300,White,Local,Hatchback,Manual,Registered
Toyota,Prado,11000000,2010,Sindh,79000,Petrol,2700,Black,Imported,SUV,Automatic,Registered
Suzuki,Swift,1650000,2017,Sindh,52000,Petrol,1300,White,Local,Hatchback,Manual,Registered
Toyota,Surf,1350000,1994,Balochistan,150000,Diesel,3000,Red,Imported,SUV,Automatic,Registered
Daihatsu,Move,1340000,2014,Punjab,63000,Petrol,660,Silver,Imported,Hatchback,Automatic,Registered
Toyota,Vitz,2650000,2017,Punjab,21000,Petrol,1000,Silver,Imported,Hatchback,Automatic,Un-Registered
Mercedes,Benz,2200000,2003,Punjab,119654,Petrol,1800,Black,Imported,Sedan,Automatic,Registered
Suzuki,Mehran,990000,2019,Punjab,16000,Petrol,800,Grey,Local,Hatchback,Manual,Registered
Toyota,Corolla,1420000,2007,Islamabad,123456,Petrol,1300,White,Local,Sedan,Manual,Registered
Toyota,Aqua,2900000,2016,Sindh,35000,Petrol,1500,Blue,Imported,Hatchback,Automatic,Un-Registered
Honda,City,2000000,2016,Punjab,103000,Petrol,1300,White,Local,Sedan,Automatic,Registered
Suzuki,Mehran,590000,2011,KPK,53000,Petrol,800,White,Local,Hatchback,Manual,Registered
Toyota,Aqua,3550000,2017,KPK,19600,Petrol,1500,Black,Imported,Hatchback,Automatic,Un-Registered
Suzuki,Cultus,900000,2014,Sindh,80000,Petrol,1000,White,Local,Hatchback,Manual,Registered
FAW,X-PV,575000,2014,Sindh,97000,Petrol,1000,Assembly,Local,Mini Van,Manual,Registered
Suzuki,Mehran,300000,1998,Punjab,100000,Petrol,800,Beige,Local,Hatchback,Manual,Registered
Suzuki,Bolan,1025000,2018,Punjab,20700,Petrol,800,White,Local,Van,Manual,Registered
Suzuki,Mehran,415000,2004,Punjab,50000,Petrol,800,White,Imported,Hatchback,Manual,Registered
Suzuki,Wagon,1620000,2018,Punjab,23000,Petrol,1000,White,Local,Hatchback,Manual,Registered
Toyota,Vitz,2275000,2016,Punjab,4000,Petrol,1000,Black,Imported,Hatchback,Automatic,Un-Registered
Toyota,Corolla,1620000,2010,Punjab,150000,Petrol,1300,Grey,Local,Sedan,Manual,Registered
Daihatsu,Cuore,480000,2004,Punjab,135000,Petrol,800,White,Local,Hatchback,Manual,Registered
Honda,City,2125000,2016,Punjab,45000,Petrol,1300,Silver,Local,Sedan,Manual,Registered
Suzuki,Cultus,1150000,2018,Punjab,93000,Petrol,1000,Grey,Local,Hatchback,Manual,Registered
Toyota,Aqua,2950000,2016,Punjab,27000,Petrol,1500,Blue,Imported,Hatchback,Automatic,Un-Registered
Toyota,Belta,1130000,2007,Sindh,84000,Petrol,1000,Beige,Imported,Sedan,Automatic,Registered
Suzuki,Mehran,920000,2017,Punjab,75000,Petrol,800,Grey,Local,Hatchback,Manual,Registered
Suzuki,Swift,1475000,2014,Punjab,80000,Petrol,1300,White,Local,Hatchback,Automatic,Registered
Suzuki,Alto,1325000,2015,Sindh,80000,Petrol,660,Black,Imported,Hatchback,Manual,Registered
Toyota,Corolla,2075000,2015,Sindh,72000,Petrol,1300,Silver,Local,Sedan,Automatic,Registered
Toyota,Aqua,2740000,2015,Sindh,38100,Petrol,1500,Black,Imported,Hatchback,Automatic,Registered
Suzuki,Cultus,710000,2007,KPK,83000,Petrol,1000,Blue,Local,Hatchback,Manual,Registered
Honda,N,1375000,2014,Punjab,105000,Petrol,660,White,Imported,Hatchback,Automatic,Registered
Suzuki,Alto,460000,2001,Punjab,80000,Petrol,1000,Silver,Local,Hatchback,Manual,Registered
Suzuki,Bolan,890000,2017,KPK,65414,Petrol,800,White,Local,Van,Manual,Registered
Toyota,Prado,2450000,1997,Punjab,241000,Diesel,3000,Blue,Imported,SUV,Manual,Registered
Daihatsu,Move,1350000,2014,Sindh,88000,Petrol,660,White,Imported,Hatchback,Automatic,Registered
Suzuki,Mehran,560000,2011,Sindh,123465,Petrol,800,Grey,Local,Hatchback,Manual,Registered
Suzuki,Swift,1080000,2012,Sindh,110000,Petrol,1300,White,Local,Hatchback,Manual,Registered
Honda,City,2255000,2018,Punjab,25370,Petrol,1300,White,Local,Sedan,Manual,Registered
Daihatsu,Cuore,875000,2011,Punjab,60000,Petrol,800,Grey,Local,Hatchback,Manual,Registered
Suzuki,Wagon,900000,2019,Punjab,30000,Petrol,1000,Brown,Local,Hatchback,Manual,Registered
Toyota,Corolla,2500000,2019,Sindh,2800,Petrol,1300,White,Local,Sedan,Manual,Registered
FAW,X-PV,1100000,2018,Islamabad,25000,Petrol,1000,Grey,Local,Mini Van,Manual,Registered
Suzuki,Vitara,3900000,2018,Sindh,52000,Petrol,1600,Grey,Imported,SUV,Automatic,Registered
Suzuki,Cultus,1125000,2016,Punjab,56000,Petrol,1000,White,Local,Hatchback,Manual,Registered
Suzuki,Wagon,870000,2018,Punjab,34000,Petrol,1000,White,Local,Hatchback,Manual,Registered
Toyota,Corolla,2190000,2015,Sindh,83000,Petrol,1300,White,Local,Sedan,Automatic,Registered
Toyota,Premio,2300000,2005,KPK,138000,Petrol,1800,Silver,Imported,Sedan,Automatic,Registered
Honda,Civic,1000000,2005,KPK,125000,Petrol,1500,Grey,Local,Sedan,Automatic,Registered
Honda,Fit,2895000,2016,Punjab,76081,Hybrid,1500,Silver,Imported,Hatchback,Automatic,Un-Registered
Hyundai,Santro,580000,2005,Punjab,90000,Petrol,1000,White,Local,Hatchback,Manual,Registered
Suzuki,Alto,1500000,2016,Punjab,56000,Petrol,660,Assembly,Imported,Hatchback,Automatic,Un-Registered
Suzuki,Swift,1570000,2014,Punjab,66900,Petrol,1300,White,Local,Hatchback,Manual,Registered
Nissan,Clipper,775000,2008,Islamabad,100000,Petrol,660,White,Imported,Mini Van,Automatic,Registered
Toyota,Vitz,1050000,2001,Islamabad,218000,Petrol,1000,Silver,Imported,Hatchback,Automatic,Registered
Toyota,Vitz,1745000,2011,KPK,42100,Petrol,1000,White,Imported,Hatchback,Automatic,Registered
Suzuki,Margalla,650000,1998,Punjab,90000,Petrol,1300,Black,Local,Sedan,Manual,Registered
Toyota,Vitz,2300000,2015,Islamabad,52000,Petrol,1000,Grey,Imported,Hatchback,Automatic,Registered
Suzuki,Mehran,880000,2017,Punjab,80000,Petrol,800,White,Local,Hatchback,Manual,Registered
Toyota,Corolla,2550000,2019,Punjab,25000,Petrol,1300,White,Local,Sedan,Automatic,Registered
Honda,N,1475000,2014,Punjab,45000,Petrol,660,Maroon,Imported,Hatchback,Automatic,Registered
Daihatsu,Cuore,625000,2005,Sindh,72000,Petrol,800,Grey,Local,Hatchback,Automatic,Registered
Suzuki,Mehran,500000,2007,Punjab,100000,Petrol,800,Blue,Local,Hatchback,Manual,Registered
Suzuki,Baleno,395000,2001,Punjab,200000,Petrol,1300,Silver,Local,Sedan,Manual,Registered
Toyota,Pixis,1650000,2017,Punjab,8000,Petrol,660,Silver,Imported,Hatchback,Automatic,Un-Registered
Honda,Civic,890000,2004,Sindh,63000,Petrol,1500,Blue,Imported,Sedan,Automatic,Registered
Suzuki,Cultus,600000,2007,Punjab,78500,Petrol,1000,Silver,Local,Hatchback,Manual,Registered
Daihatsu,Terios,2100000,2007,Punjab,127000,Petrol,1500,Black,Imported,SUV,Manual,Registered
Suzuki,Alto,560000,2007,Sindh,58000,Petrol,1000,White,Local,Hatchback,Manual,Registered
Honda,Civic,1000000,2004,Islamabad,195000,Petrol,1500,Grey,Local,Sedan,Manual,Registered
Suzuki,Mehran,890000,2017,KPK,25000,Petrol,800,White,Local,Hatchback,Manual,Registered
Suzuki,Mehran,900000,2018,Punjab,50000,Petrol,800,White,Local,Hatchback,Manual,Registered
Toyota,Corolla,1950000,2011,Balochistan,70000,Petrol,1600,White,Local,Sedan,Automatic,Registered
Suzuki,Cultus,530000,2004,Punjab,123456,Petrol,1000,White,Local,Hatchback,Manual,Registered
Suzuki,Mehran,1140000,2019,Punjab,5000,Petrol,800,White,Local,Hatchback,Manual,Registered
Suzuki,Mehran,650000,2012,Punjab,59000,Petrol,800,Grey,Local,Hatchback,Manual,Registered
Daihatsu,Mira,1600000,2015,Punjab,56000,Petrol,660,Yellow,Imported,Hatchback,Automatic,Un-Registered
Suzuki,Wagon,1435000,2018,Punjab,20750,Petrol,1000,White,Imported,Hatchback,Manual,Registered
Honda,Vezel,5200000,2017,Punjab,36000,Hybrid,1500,Purple,Imported,Cross Over,Automatic,Registered
Suzuki,Swift,1100000,2010,Punjab,143000,Petrol,1300,White,Local,Hatchback,Manual,Registered
Suzuki,Swift,1900000,2019,Punjab,15000,Petrol,1300,White,Local,Hatchback,Automatic,Registered
Suzuki,Margalla,340000,1996,Sindh,123456,Petrol,1300,Red,Local,Sedan,Manual,Registered
Suzuki,Potohar,650000,1990,KPK,120000,Petrol,660,Maroon,Local,SUV,Manual,Registered
Honda,City,980000,2004,Sindh,90000,Petrol,1300,Blue,Local,Sedan,Manual,Registered
Suzuki,Mehran,600000,2010,Punjab,58800,Petrol,800,Blue,Local,Hatchback,Manual,Registered
Suzuki,Bolan,1115000,2018,Punjab,34131,Petrol,800,White,Local,Mini Van,Manual,Registered
Suzuki,Cultus,1850000,2019,Punjab,13000,Petrol,1000,Grey,Local,Hatchback,Manual,Registered
Suzuki,Mehran,660000,2013,Islamabad,100000,Petrol,800,Silver,Local,Hatchback,Manual,Registered
Toyota,Corolla,850000,2004,KPK,150000,Diesel,2000,White,Local,Sedan,Manual,Registered
Suzuki,Swift,1780000,2017,KPK,25000,Petrol,1300,White,Local,Hatchback,Manual,Registered
Toyota,Aqua,2250000,2014,Punjab,110000,Petrol,1500,Red,Imported,Hatchback,Automatic,Registered
Honda,Fit,1600000,2012,Punjab,127000,Hybrid,1300,Grey,Imported,Hatchback,Automatic,Registered
Toyota,Corolla,1850000,2011,Islamabad,123500,Diesel,2000,White,Local,Sedan,Manual,Registered
Suzuki,Cultus,1125000,2014,Islamabad,60000,Petrol,1000,Red,Local,Hatchback,Manual,Registered
Suzuki,Cultus,825000,2012,Sindh,60000,Petrol,1000,Blue,Local,Hatchback,Manual,Registered
Toyota,Corolla,2685000,2016,Punjab,60000,Petrol,1800,Silver,Local,Sedan,Automatic,Registered
Suzuki,Cultus,1695000,2019,Punjab,31000,Petrol,1000,White,Local,Hatchback,Manual,Registered
Toyota,Corolla,1650000,2013,Punjab,81000,Petrol,1600,White,Local,Sedan,Automatic,Registered
Suzuki,Wagon,1270000,2013,Punjab,95000,Petrol,660,Silver,Imported,Hatchback,Automatic,Registered
Honda,Civic,3150000,2016,Punjab,70000,Petrol,1800,White,Local,Sedan,Automatic,Registered
Toyota,Corolla,3650000,2018,Punjab,11847,Petrol,1500,Unlisted,Imported,Sedan,Automatic,Un-Registered
Honda,City,1175000,2006,Islamabad,167592,Petrol,1300,Black,Local,Sedan,Manual,Registered
